,smiles,MolWt
0,[B]1C2=CC=CC=C21,86.91000000000001
1,C1=CC2=C3N2C3=C1,89.09699999999998
2,[CH2+]C1=CC=CC=C1,91.13299999999998
3,C1=CC=C2C(=C1)O2,92.09699999999998
4,CC1=CC=CC=C1,92.14099999999999
5,C1=CC=C(C=C1)N,93.12899999999999
6,C1=CC=C(C=C1)O,94.11299999999997
7,C1=CC=C(C=C1)F,96.10399999999998
8,C#CC1=CC=CC=C1,102.13599999999998
9,[C-]#[N+]C1=CC=CC=C1,103.12399999999997
10,C1=CC=C(C=C1)C#N,103.12399999999998
11,C=CC1=CC=CC=C1,104.15199999999997
12,C1=CC=C2C(=C1)[Si]2,104.18399999999998
13,C1=CC=C(C=C1)[N+]#N,105.11999999999999
14,C1=CC=C(C=C1)[Si],105.19199999999998
15,C1=CC=C(C=C1)C=O,106.12399999999997
16,CCC1=CC=CC=C1,106.16799999999996
17,C1=CC=C(C=C1)N=O,107.11199999999998
18,CNC1=CC=CC=C1,107.15599999999998
19,C1=CC=C(C=C1)CN,107.15599999999999
20,COC1=CC=CC=C1,108.13999999999997
21,C1=CC=C(C=C1)CO,108.13999999999997
22,C1=CC=C(C=C1)NN,108.14399999999999
23,C1=CC=C(C=C1)NO,109.12799999999997
24,C1=CC=C(C=C1)CF,110.13099999999999
25,C1=CC=C(C=C1)S,110.18099999999997
26,C1=CC=C(C=C1)Cl,112.55899999999998
27,C=C=CC1=CC=CC=C1,116.16299999999995
28,CC#CC1=CC=CC=C1,116.16299999999995
29,C1=CC=C(C=C1)C2C=C2,116.16299999999995
30,C#CCC1=CC=CC=C1,116.16299999999995
31,[C-]#[N+]CC1=CC=CC=C1,117.15099999999995
32,C=C=NC1=CC=CC=C1,117.15099999999995
33,C1=CC=C(C=C1)CC#N,117.15099999999998
34,C#COC1=CC=CC=C1,118.13499999999995
35,C1=CC=C(C=C1)C=[N+]=[N-],118.13899999999998
36,C#[N+]CC1=CC=CC=C1,118.15899999999995
37,C=CCC1=CC=CC=C1,118.17899999999995
38,C1CC1C2=CC=CC=C2,118.17899999999996
39,CC=CC1=CC=CC=C1,118.17899999999996
40,CC(=C)C1=CC=CC=C1,118.17899999999996
41,B(C)(C1=CC=CC=C1)N,118.976
42,C1=CC=C(C=C1)N=C=O,119.12299999999998
43,C1=CC=C(C=C1)OC#N,119.12299999999998
44,C1=CC=C(C=C1)N=[N+]=[N-],119.127
45,CC([CH2+])C1=CC=CC=C1,119.18699999999995
46,CC[CH-]C1=CC=CC=C1,119.18699999999995
47,C1=CC=C(C=C1)C#CF,120.12599999999998
48,C1=CC=C(C=C1)N[N+]#N,120.13499999999999
49,C1C(O1)C2=CC=CC=C2,120.15099999999995
50,CC(=O)C1=CC=CC=C1,120.15099999999995
51,C=COC1=CC=CC=C1,120.15099999999995
52,C1=CC=C(C=C1)CC=O,120.15099999999997
53,CCCC1=CC=CC=C1,120.19499999999995
